Variable                       |Posición|Etiqueta                                                                                                |Nivel de medición|Rol    |Ancho de columna|Alineación|Formato de impresión|Formato de grabación|Valores perdidos|
Familiar2_RelaciónNiño         |47      |<ninguno>                                                                                               |Nominal          |Entrada|8               |Derecha   |F8.2                |F8.2                |                |
Familiar2_FechaNac             |48      |<ninguno>                                                                                               |Nominal          |Entrada|8               |Derecha   |F8.2                |F8.2                |                |
Familiar2_EstadoCiv            |49      |<ninguno>                                                                                               |Nominal          |Entrada|8               |Derecha   |F8.2                |F8.2                |                |
Familiar2_Ocupación            |50      |<ninguno>                                                                                               |Nominal          |Entrada|8               |Derecha   |F8.2                |F8.2                |                |
Familiar2_GrupoEtnico          |51      |<ninguno>                                                                                               |Nominal          |Entrada|8               |Derecha   |F8.2                |F8.2                |                |
Familiar3_RelaciónNiño         |52      |relative 3 relationship with the child?                                                                 |Escala           |Entrada|8               |Derecha   |F8                  |F8                  |                |
Familiar3_FechaNac             |53      |date of relative 3 birth                                                                                |Escala           |Entrada|11              |Derecha   |EDATE10             |EDATE10             |                |
Familiar3_EstadoCiv            |54      |relative 3 marital status                                                                               |Escala           |Entrada|8               |Derecha   |F8                  |F8                  |                |
Familiar3_Ocupación            |55      |raletive 3 occupation                                                                                   |Escala           |Entrada|8               |Derecha   |F8                  |F8                  |                |
Familiar3_NivelEduc            |56      |relative 3 educational level                                                                            |Escala           |Entrada|8               |Derecha   |F8                  |F8                  |                |
Familiar3_GrupoEtnico          |57      |relative 3 ethnicity group                                                                              |Escala           |Entrada|8               |Derecha   |F8                  |F8                  |                |
relative_4_relationship_child  |58      |relative 4 relationship with the child?                                                                 |Escala           |Entrada|8               |Derecha   |F8                  |F8                  |                |
relative_4_date_birth          |59      |date of relative 4 birth                                                                                |Escala           |Entrada|11              |Derecha   |EDATE10             |EDATE10             |                |
raletive_4_marital_status      |60      |relative 4 marital status                                                                               |Escala           |Entrada|8               |Derecha   |F8                  |F8                  |                |
relative_4_occupation          |61      |raletive 4 occupation                                                                                   |Escala           |Entrada|8               |Derecha   |F8                  |F8                  |                |
relative_4_educational_level   |62      |relative 4 educational level                                                                            |Escala           |Entrada|8               |Derecha   |F8                  |F8                  |                |
relative_4_ethnic_group        |63      |relative 4 ethnicity group                                                                              |Escala           |Entrada|8               |Derecha   |F8                  |F8                  |                |
relative_5_relationship_child  |64      |relative 5 relationship with the child?                                                                 |Escala           |Entrada|8               |Derecha   |F8                  |F8                  |                |
relative_5_date_birth          |65      |date of relative 5 birth                                                                                |Escala           |Entrada|10              |Derecha   |EDATE10             |EDATE10             |                |
relative_5_marital_status      |66      |relative 5 marital status                                                                               |Escala           |Entrada|8               |Derecha   |F8                  |F8                  |                |
relative_5_occupation          |67      |raletive 5 occupation                                                                                   |Escala           |Entrada|8               |Derecha   |F8                  |F8                  |                |
relative_5_educational_level   |68      |relative 5 educational level                                                                            |Escala           |Entrada|11              |Derecha   |F8                  |F8                  |                |
relative_5_ethnic_group        |69      |relative 5 ethnicity group                                                                              |Escala           |Entrada|8               |Derecha   |F8                  |F8                  |                |
relative_6_relationship_child  |70      |relative 6 relationship with the child?                                                                 |Escala           |Entrada|8               |Derecha   |F8                  |F8                  |                |
relative_6_date_birth          |71      |date of relative 6 birth                                                                                |Escala           |Entrada|8               |Derecha   |EDATE10             |EDATE10             |                |
relative_6_marital_status      |72      |relative 6 marital status                                                                               |Escala           |Entrada|8               |Derecha   |F8                  |F8                  |                |
relative_6_occupation          |73      |raletive 6 occupation                                                                                   |Escala           |Entrada|8               |Derecha   |F8                  |F8                  |                |
relative_6_educational_level   |74      |relative 6 educational level                                                                            |Escala           |Entrada|8               |Derecha   |F8                  |F8                  |                |
relative_6_ethnic_group        |75      |relative 6 ethnicity group                                                                              |Escala           |Entrada|8               |Derecha   |F8                  |F8                  |                |
relative_7_relationship_child  |76      |relative 7 relationship with the child?                                                                 |Escala           |Entrada|8               |Derecha   |F8                  |F8                  |                |
relative_7_date_birth          |77      |date of relative 7 birth                                                                                |Escala           |Entrada|8               |Derecha   |EDATE10             |EDATE10             |                |
relative_7_marital_status      |78      |relative 7 marital status                                                                               |Escala           |Entrada|8               |Derecha   |F8                  |F8                  |                |
relative_7_occupation          |79      |raletive 7 occupation                                                                                   |Escala           |Entrada|8               |Derecha   |F8                  |F8                  |                |
relative_7_educational_level   |80      |relative 7 educational level                                                                            |Escala           |Entrada|8               |Derecha   |F8                  |F8                  |                |
relative_7_ethnic_group        |81      |relative 7 ethnicity group                                                                              |Escala           |Entrada|8               |Derecha   |F8                  |F8                  |                |
relative_8_relationship_child  |82      |relative 8 relationship with the child?                                                                 |Escala           |Entrada|8               |Derecha   |F8                  |F8                  |                |
relative_8_date_birth          |83      |date of relative 8 birth                                                                                |Escala           |Entrada|8               |Derecha   |EDATE10             |EDATE10             |                |
relative_8_marital_status      |84      |relative 8 marital status                                                                               |Escala           |Entrada|8               |Derecha   |F8                  |F8                  |                |
relativa_8_occupation          |85      |raletive 8 occupation                                                                                   |Escala           |Entrada|8               |Derecha   |F8                  |F8                  |                |
relative_8_educational_level   |86      |relative 8 educational level                                                                            |Escala           |Entrada|8               |Derecha   |F8                  |F8                  |                |
relative_8_ethnic_group        |87      |relative 8 ethnicity group                                                                              |Escala           |Entrada|8               |Derecha   |F8                  |F8                  |                |
relative_9_relationship_child  |88      |relative 9 relationship with the child?                                                                 |Escala           |Entrada|8               |Derecha   |F8                  |F8                  |                |
relative_9_date_birth          |89      |date of relative 9 birth                                                                                |Escala           |Entrada|8               |Derecha   |EDATE10             |EDATE10             |                |
relative_9_marital_status      |90      |relative 9 marital status                                                                               |Escala           |Entrada|8               |Derecha   |F8                  |F8                  |                |
relative_9_occupation          |91      |raletive 9 occupation                                                                                   |Escala           |Entrada|8               |Derecha   |F8                  |F8                  |                |
relative_9_educational_level   |92      |relative 9 educational level                                                                            |Escala           |Entrada|8               |Derecha   |F8                  |F8                  |                |
relative_9_ethnic_group        |93      |relative 9 ethnicity group                                                                              |Escala           |Entrada|8               |Derecha   |F8                  |F8                  |                |
relative_10_relationship_child |94      |relative 10 relationship with the child?                                                                |Escala           |Entrada|8               |Derecha   |F8                  |F8                  |                |
relative_10_date_birth         |95      |date of relative 10 birth                                                                               |Escala           |Entrada|8               |Derecha   |EDATE10             |EDATE10             |                |
relative_10_marital_status     |96      |relative 10 marital status                                                                              |Escala           |Entrada|8               |Derecha   |F8                  |F8                  |                |
relative_10_occupation         |97      |raletive 10 occupation                                                                                  |Escala           |Entrada|8               |Derecha   |F8                  |F8                  |                |
relative_10_educational_level  |98      |relative 10 educational level                                                                           |Escala           |Entrada|8               |Derecha   |F8                  |F8                  |                |
relative_10_ethnic_group       |99      |relative 10 ethnicity group                                                                             |Escala           |Entrada|8               |Derecha   |F8                  |F8                  |                |
relative_11_relationship_child |100     |relative 11 relationship with the child?                                                                |Escala           |Entrada|8               |Derecha   |F8                  |F8                  |                |
relative_11_date_birth         |101     |date of relative 11 birth                                                                               |Escala           |Entrada|8               |Derecha   |EDATE10             |EDATE10             |                |
relative_11_marital_status     |102     |relative 11 marital status                                                                              |Escala           |Entrada|8               |Derecha   |F8                  |F8                  |                |
relative_11_occupation         |103     |raletive 11 occupation                                                                                  |Escala           |Entrada|8               |Derecha   |F8                  |F8                  |                |
relative_11_educational_level  |104     |relative 11 educational level                                                                           |Escala           |Entrada|8               |Derecha   |F8                  |F8                  |                |
relative_11_ethnic_group       |105     |relative 11 ethnicity group                                                                             |Escala           |Entrada|8               |Derecha   |F8                  |F8                  |                |
relative_12_relationship_child |106     |relative 12 relationship with the child?                                                                |Escala           |Entrada|8               |Derecha   |F8                  |F8                  |                |
relative_12_date_birth         |107     |date of relative 12 birth                                                                               |Escala           |Entrada|8               |Derecha   |EDATE10             |EDATE10             |                |
relative_12_marital_status     |108     |relative 12 marital status                                                                              |Escala           |Entrada|8               |Derecha   |F8                  |F8                  |                |
relative_12_occupation         |109     |raletive 12 occupation                                                                                  |Escala           |Entrada|8               |Derecha   |F8                  |F8                  |                |
relative_12_educational_level  |110     |relative 12 educational level                                                                           |Escala           |Entrada|8               |Derecha   |F8                  |F8                  |                |
relative_12_ethnic_group       |111     |relative 12 ethnicity group                                                                             |Escala           |Entrada|8               |Derecha   |F8                  |F8                  |                |
relative_13_relationship_child |112     |relative 13 relationship with the child?                                                                |Escala           |Entrada|8               |Derecha   |F8                  |F8                  |                |
relative_13_date_birth         |113     |date of relative 13 birth                                                                               |Escala           |Entrada|8               |Derecha   |EDATE10             |EDATE10             |                |
relative_13_marital_status     |114     |relative 13 marital status                                                                              |Escala           |Entrada|8               |Derecha   |F8                  |F8                  |                |
relative_13_occupation         |115     |raletive 13 occupation                                                                                  |Escala           |Entrada|8               |Derecha   |F8                  |F8                  |                |
relative_13_educational_level  |116     |relative 13 educational level                                                                           |Escala           |Entrada|8               |Derecha   |F8                  |F8                  |                |
relative_13_ethnic_group       |117     |relative 13 ethnicity group                                                                             |Escala           |Entrada|8               |Derecha   |F8                  |F8                  |                |
Dirección                      |118     |Dirección familiar                                                                                      |Nominal          |Entrada|23              |Izquierda |A36                 |A36                 |"999"           |
Teléfono                       |119     |Número de contacto                                                                                      |Escala           |Entrada|8               |Derecha   |F8                  |F8                  |                |
HO_1                           |120     |La madre permite que el niño(a) ocasionalmente se entretenga en tipos de juegos "sucios".               |Escala           |Entrada|8               |Derecha   |F8                  |F8                  |                |
HO_2                           |121     |La madre espontáneamente vocaliza al niño(a) al menos 2 veces durante la entrevista.                    |Escala           |Entrada|8               |Derecha   |F8                  |F8                  |                |
HO_3                           |122     |La madre responde verbalmente a las vocalizaciones del niño(a).                                         |Escala           |Entrada|8               |Derecha   |F8                  |F8                  |                |
HO_4                           |123     |La madre dice al niño(a) el nombre de un objeto o una persona durante la visita.                        |Escala           |Entrada|8               |Derecha   |F8                  |F8                  |                |
HO_5                           |124     |El habla de la madre es clara y audible.                                                                |Escala           |Entrada|8               |Derecha   |F8                  |F8                  |                |
HO_6                           |125     |La madre inicia intercambios verbales con el entrevistador.                                             |Escala           |Entrada|8               |Derecha   |F8                  |F8                  |                |
HO_7                           |126     |La madre conversa libremente y con facilidad.                                                           |Escala           |Entrada|8               |Derecha   |F8                  |F8                  |                |
HO_8                           |127     |La madre espontáneamente alaba las cualidades o el comportamiento del niño(a) al menos 2 veces.         |Escala           |Entrada|8               |Derecha   |F8                  |F8                  |                |
HO_9                           |128     |La voz de la madre revela sentimientos positivos cuando habla de o al niño(a).                          |Escala           |Entrada|8               |Derecha   |F8                  |F8                  |                |
HO_10                          |129     |La madre acaricia o besa al niño(a) al menos 1 vez durante la visita.                                   |Escala           |Entrada|8               |Derecha   |F8                  |F8                  |                |
HO_11                          |130     |La madre responde positivamente a la alabanza al niño(a) ofrecida por el entrevistador.                 |Escala           |Entrada|8               |Derecha   |F8                  |F8                  |                |
HO_12                          |131     |La madre responde que en no más de 1 ocasión se castigó físicamente al niño(a) en la última semana.     |Escala           |Entrada|8               |Derecha   |F8                  |F8                  |                |
HO_13                          |132     |La familia tiene un animal doméstico.                                                                   |Escala           |Entrada|8               |Derecha   |F8                  |F8                  |                |
HO_14                          |133     |La madre no grita al niño(a) durante la visita.                                                         |Escala           |Entrada|8               |Derecha   |F8                  |F8                  |                |
HO_15                          |134     |La madre no expresa irritación abierta con / u hostilidad hacia el niño(a).                             |Escala           |Entrada|8               |Derecha   |F8                  |F8                  |                |
HO_16                          |135     |La madre no da un cachete o pega al niño(a) durante la visita.                                          |Escala           |Entrada|8               |Derecha   |F8                  |F8                  |                |
HO_17                          |136     |La madre no regaña o critica al niño(a) durante la visita.                                              |Escala           |Entrada|8               |Derecha   |F8                  |F8                  |                |
HO_18                          |137     |La madre no interfiere las acciones del niño(a) o restringe sus movimientos más de 3 veces en la visita.|Escala           |Entrada|8               |Derecha   |F8                  |F8                  |                |
HO_19                          |138     |Al menos hay 10 libros visibles en la casa.                                                             |Escala           |Entrada|8               |Derecha   |F8                  |F8                  |                |
HO_20                          |139     |Cuando la madre está fuera de casa el cuidado el cuidado lo aportan de 1 a 3 sustitutos regulares.      |Escala           |Entrada|8               |Derecha   |F8                  |F8                  |                |
HO_21                          |140     |El niño(a) va al almacén (Verdulería, Feria, etc.) o a la compras al menos 1 vez por semana.            |Escala           |Entrada|8               |Derecha   |F8                  |F8                  |                |
HO_22                          |141     |El niño(a) sale fuera de casa al menos 4 veces a la semana.                                             |Escala           |Entrada|8               |Derecha   |F8                  |F8                  |                |
HO_23                          |142     |El niño(a) asiste con regularidad al pediatra u hospital para revisiones o visitas preventivas.         |Escala           |Entrada|8               |Derecha   |F8                  |F8                  |                |
HO_24                          |143     |El niño(a) tiene un lugar especial en el que guardar sus juguetes y "sus cosas".                        |Escala           |Entrada|8               |Derecha   |F8                  |F8                  |                |
HO_25                          |144     |El ambiente de juego del niño(a) parece seguro y libre de peligros.                                     |Escala           |Entrada|8               |Derecha   |F8                  |F8                  |                |
HO_26                          |145     |El niño tiene 1 o más piezas de equipamiento para actividad muscular (balón, caballo de balancín,).     |Escala           |Entrada|8               |Derecha   |F8                  |F8                  |                |
HO_27                          |146     |El niño tiene juguetes de empujar o tirar.                                                              |Escala           |Entrada|8               |Derecha   |F8                  |F8                  |                |
HO_28                          |147     |El niño tiene coche, andador, patinete o triciclo.                                                      |Escala           |Entrada|8               |Derecha   |F8                  |F8                  |                |
HO_29                          |148     |Dispone de equipamiento de aprendizaje apropiado a la edad (osito o juguetes de "rol playing").         |Escala           |Entrada|8               |Derecha   |F8                  |F8                  |                |
HO_30                          |149     |Dispone de equipamiento de aprendizaje apropiado a la edad (mesa y silla, silla alta, corralito).       |Escala           |Entrada|8               |Derecha   |F8                  |F8                  |                |
HO_31                          |150     |Dispone de juguetes de coordinación ojo-mano (de entrar y sacar, de insertar cuentas, de encajar,...).  |Escala           |Entrada|8               |Derecha   |F8                  |F8                  |                |
HO_32                          |151     |Dispone de juguetes de coordinación ojo-mano que permiten combinar (apilar, bloques, construir).        |Escala           |Entrada|8               |Derecha   |F8                  |F8                  |                |
HO_33                          |152     |Juguetes de literatura o música.                                                                        |Escala           |Entrada|8               |Derecha   |F8                  |F8                  |                |
HO_34                          |153     |La madre aporta juguetes o actividades interesantes al niño durante la entrevista.                      |Escala           |Entrada|8               |Derecha   |F8                  |F8                  |                |
HO_35                          |154     |La madre habla al niño mientras hace el trabajo de la casa.                                             |Escala           |Entrada|8               |Derecha   |F8                  |F8                  |                |
HO_36                          |155     |La madre conscientemente anima el avance evolutivo.                                                     |Escala           |Entrada|8               |Derecha   |F8                  |F8                  |                |
HO_37                          |156     |La madre da valor a juguetes "madurativos" a través de su atención.                                     |Escala           |Entrada|8               |Derecha   |F8                  |F8                  |                |
HO_38                          |157     |La madre estructura el período de juego del niño.                                                       |Escala           |Entrada|8               |Derecha   |F8                  |F8                  |                |
HO_39                          |158     |La madre provee al niño de juguetes que le desafían a desarrollar nuevas destrezas.                     |Escala           |Entrada|8               |Derecha   |F8                  |F8                  |                |
HO_40                          |159     |La madre tiende a tener al niño dentro de su campo visual y a mirarlo frecuentemente.                   |Escala           |Entrada|8               |Derecha   |F8                  |F8                  |                |
HO_41                          |160     |El padre aporta algún cuidado diario.                                                                   |Escala           |Entrada|8               |Derecha   |F8                  |F8                  |                |
HO_42                          |161     |La madre lee historias al niño al menos 3 veces por semana.                                             |Escala           |Entrada|8               |Derecha   |F8                  |F8                  |                |
HO_43                          |162     |El niño come al menos 1 vez al día con la madre y el padre.                                             |Escala           |Entrada|8               |Derecha   |F8                  |F8                  |                |
HO_44                          |163     |La familia visita o recibe visitas de parientes al menos 1 vez al mes.                                  |Escala           |Entrada|8               |Derecha   |F8                  |F8                  |                |
HO_45                          |164     |El niño tiene 3 o más libros suyos.                                                                     |Escala           |Entrada|8               |Derecha   |F8                  |F8                  |                |
IT_HOME_Responsividad          |165     |<ninguno>                                                                                               |Nominal          |Entrada|8               |Derecha   |F8.2                |F8.2                |                |
IT_HOME_Aceptación             |166     |<ninguno>                                                                                               |Nominal          |Entrada|8               |Derecha   |F8.2                |F8.2                |                |
IT_HOME_Organización           |167     |<ninguno>                                                                                               |Nominal          |Entrada|8               |Derecha   |F8.2                |F8.2                |                |
IT_HOME_Provisión_de_materiales|168     |<ninguno>                                                                                               |Nominal          |Entrada|8               |Derecha   |F8.2                |F8.2                |                |
IT_HOME_Implicación_materna    |169     |<ninguno>                                                                                               |Nominal          |Entrada|8               |Derecha   |F8.2                |F8.2                |                |
IT_HOME_Variedad               |170     |<ninguno>                                                                                               |Nominal          |Entrada|8               |Derecha   |F8.2                |F8.2                |                |
IT_HOME_TOTAL                  |171     |<ninguno>                                                                                               |Escala           |Entrada|8               |Derecha   |F8.2                |F8.2                |                |
BSI_1                          |172     |Pensamientos o ideas de acabar con su vida                                                              |Escala           |Entrada|8               |Derecha   |F8                  |F8                  |                |
BSI_2                          |173     |Sentirse solo/a                                                                                         |Escala           |Entrada|8               |Derecha   |F8                  |F8                  |                |
BSI_3                          |174     |Sentirse triste                                                                                         |Escala           |Entrada|8               |Derecha   |F8                  |F8                  |                |
BSI_4                          |175     |No sentir interés por las cosas                                                                         |Escala           |Entrada|8               |Derecha   |F8                  |F8                  |                |
BSI_5                          |176     |Sentirse desesperanzado con respecto al futuro                                                          |Escala           |Entrada|8               |Derecha   |F8                  |F8                  |                |
BSI_6                          |177     |La sensación de ser inútil o de no valer nada                                                           |Escala           |Entrada|8               |Derecha   |F8                  |F8                  |                |
BSI_TOTAL                      |178     |<ninguno>                                                                                               |Escala           |Entrada|8               |Derecha   |F8.2                |F8.2                |                |
EEP_1_in                       |179     |Me siento constantemente criticada o evaluada por otros en mi rol de madre                              |Escala           |Entrada|8               |Derecha   |F8                  |F8                  |                |
EEP_2                          |180     |Siento que hago un buen trabajo como madre                                                              |Escala           |Entrada|8               |Derecha   |F8                  |F8                  |                |
EEP_3_in                       |181     |Mis intereses y talentos están en otras áreas de mi vida, no en la maternidad                           |Escala           |Entrada|8               |Derecha   |F8                  |F8                  |                |
EEP_4                          |182     |Considero que las decisiones que tomo en relación a la crianza de mi bebé son las más acertadas         |Escala           |Entrada|8               |Derecha   |F8                  |F8                  |                |
EEP_5_in                       |183     |Ser madre no ha sido tan satisfactorio como yo esperaba                                                 |Escala           |Entrada|8               |Derecha   |F8                  |F8                  |                |
EEP_6_in                       |184     |Se me hace realmente difícil decidir cómo criar a mi bebé                                               |Escala           |Entrada|8               |Derecha   |F8                  |F8                  |                |
EEP_7_in                       |185     |Las exigencias de la maternidad me hacen sentir tensa y angustiada                                      |Escala           |Entrada|8               |Derecha   |F8                  |F8                  |                |
EEP_8_in                       |186     |Siento que en general las tareas de la maternidad no me permiten disfrutar de mi bebé                   |Escala           |Entrada|8               |Derecha   |F8                  |F8                  |                |
EEP_9_in                       |187     |Siento que no he logrado ser el tipo de madre que me gustaría                                           |Escala           |Entrada|8               |Derecha   |F8                  |F8                  |                |
EEP_10                         |188     |El ser madre me hace sentir satisfecha y feliz                                                          |Escala           |Entrada|8               |Derecha   |F8                  |F8                  |                |
EEP_TOTAL                      |189     |<ninguno>                                                                                               |Escala           |Entrada|8               |Derecha   |F8.2                |F8.2                |                |
ADS_CHILD_M                    |190     |MIRADA DEL NIÑO                                                                                         |Escala           |Entrada|8               |Derecha   |F8                  |F8                  |                |
ADS_CHILD_M_2                  |191     |<ninguno>                                                                                               |Nominal          |Entrada|8               |Derecha   |F8                  |F8                  |                |
ADS_CHILD_V                    |192     |VOCALIZACION DEL NIÑO                                                                                   |Escala           |Entrada|8               |Derecha   |F8                  |F8                  |                |
ADS_CHILD_TA                   |193     | TACTO AFECTIVO DEL NIÑO                                                                                |Escala           |Entrada|8               |Derecha   |F8                  |F8                  |                |
ADS_CHILD_TA_2                 |194     |<ninguno>                                                                                               |Nominal          |Entrada|8               |Derecha   |F8                  |F8                  |                |
ADS_CHILD_SA                   |195     |SOSTEN AFECTIVO DEL NIÑO                                                                                |Escala           |Entrada|8               |Derecha   |F8                  |F8                  |                |
ADS_CHILD_A                    |196     |AFECTO DEL NIÑO                                                                                         |Escala           |Entrada|8               |Derecha   |F8                  |F8                  |                |
ADS_CHILD_P                    |197     |PROXIMIDAD O CERCANIA DEL NIÑO                                                                          |Escala           |Entrada|8               |Derecha   |F8                  |F8                  |                |
ADS_MAIN_CAREGIVER_M           |198     |MIRADA DEL CUIDADOR PRINCIPAL                                                                           |Escala           |Entrada|8               |Derecha   |F8                  |F8                  |                |
ADS_MAIN_CAREGIVER_V           |199     |VOCALIZACION DEL CUIDADOR PRINCIPAL                                                                     |Escala           |Entrada|8               |Derecha   |F8                  |F8                  |                |
ADS_MAIN_CAREGIVER_TA          |200     |TACTO AFECTIVO DEL CUIDADOR PRINCIPAL                                                                   |Escala           |Entrada|8               |Derecha   |F8                  |F8                  |                |
ADS_MAIN_CAREGIVER_SA          |201     |SOSTEN AFECTIVO DEL CUIDADOR PRINCIPAL                                                                  |Escala           |Entrada|8               |Derecha   |F8                  |F8                  |                |
ADS_MAIN_CAREGIVER_A           |202     |AFECTO DEL CUIDADOR PRINCIPAL                                                                           |Escala           |Entrada|8               |Derecha   |F8                  |F8                  |                |
ADS_MAIN_CAREGIVER_P           |203     |PROXIMIDAD O CERCANIA DEL CUIDADOR PRINCIPAL                                                            |Escala           |Entrada|8               |Derecha   |F8                  |F8                  |                |
ADS_MAIN_CAREGIVER_M_2         |204     |<ninguno>                                                                                               |Nominal          |Entrada|8               |Derecha   |F8                  |F8                  |                |
ADS_MAIN_CAREGIVER_V_2         |205     |<ninguno>                                                                                               |Nominal          |Entrada|8               |Derecha   |F8                  |F8                  |                |
ADS_MAIN_CAREGIVER_TA_2        |206     |<ninguno>                                                                                               |Nominal          |Entrada|8               |Derecha   |F8                  |F8                  |                |
